id,geometry,value
170316909001,"POLYGON ((-87.609225 41.765813,-87.605586 41.765881,-87.605527 41.763978,-87.605489 41.76223,-87.607927 41.762188,-87.609138 41.762168,-87.609225 41.765813))",-1
170311902004,"POLYGON ((-87.756487 41.933226,-87.746667 41.933355,-87.746595 41.931533,-87.751505 41.931467,-87.75642 41.931399,-87.756487 41.933226))",-1
170310101002,"POLYGON ((-87.677199 42.022942,-87.670073 42.022969,-87.67072 42.021154,-87.669479 42.021143,-87.669498 42.019364,-87.67133 42.019374,-87.67331 42.019387,-87.677104 42.022552,-87.677199 42.022942))",-1
170314109003,"POLYGON ((-87.585482 41.798124,-87.582243 41.798167,-87.58232 41.799645,-87.580426155153702 41.800683738400302,-87.580417828666697 41.800625495311493,-87.580161 41.798829,-87.576916056452191 41.796940085613699,-87.575801 41.796291,-87.576208059362003 41.795163068992494,-87.579775 41.795282,-87.582538 41.795243,-87.583951 41.795228,-87.585411 41.795212,-87.585482 41.798124))",-1
170318330001,"POLYGON ((-87.654567 41.888978,-87.648265 41.889042,-87.647622 41.889049,-87.647599 41.88866,-87.64736 41.881778,-87.65436 41.8817,-87.654472 41.885544,-87.654515 41.88711,-87.654567 41.888978))",-1
170310313002,"POLYGON ((-87.654228 41.973323,-87.651009 41.973369,-87.650419 41.97164,-87.651712 41.971622,-87.651723 41.972055,-87.654072 41.97202,-87.654203 41.972503,-87.654228 41.973323))",-1
170312520003,"POLYGON ((-87.774782 41.884132,-87.769895 41.884158,-87.769761 41.880218,-87.774658 41.880151,-87.774782 41.884132))",-1
170318058012,"POLYGON ((-87.874867 42.025043,-87.873882 42.025171,-87.865674 42.024621,-87.860047 42.02481,-87.860106 42.017576,-87.864853 42.017434,-87.866523 42.017259,-87.867428 42.017893,-87.870363 42.016168,-87.871576 42.01597,-87.873666 42.017183,-87.874103 42.01793,-87.872126 42.020613,-87.874224 42.022197,-87.874867 42.025043))",-1
170310305002,"POLYGON ((-87.670028 41.990798,-87.665165 41.990856,-87.665086 41.988095,-87.665045 41.986672,-87.669411 41.986282,-87.669731 41.987641,-87.670028 41.990798))",-1
170318053011,"POLYGON ((-87.822476 42.044477,-87.819462 42.044547,-87.819144 42.043703,-87.816466 42.043772,-87.816481 42.043684,-87.8165 42.042329,-87.80624 42.042626,-87.806283 42.040816,-87.816087 42.040575,-87.820437 42.040462,-87.822155 42.040417,-87.822487 42.04405,-87.822476 42.044477))",-1
